"codigo","fluviosidade","dia","nome"
"1","0,22","2017-01-01","RIO PASSAUNA"
"2","0,13","2017-01-02","RIO PASSAUNA"
"3","0,12","2017-01-03","RIO PASSAUNA"
"4","0,09","2017-01-04","RIO PASSAUNA"
"5","0,28","2017-01-05","RIO PASSAUNA"
"6","1,74","2017-01-06","RIO PASSAUNA"
"7","5,48","2017-01-07","RIO PASSAUNA"
"8","1,74","2017-01-08","RIO PASSAUNA"
"9","1,69","2017-01-09","RIO PASSAUNA"
"10","1,03","2017-01-10","RIO PASSAUNA"
"11","0,66","2017-01-11","RIO PASSAUNA"
"12","0,44","2017-01-12","RIO PASSAUNA"
"13","0,33","2017-01-13","RIO PASSAUNA"
"14","0,28","2017-01-14","RIO PASSAUNA"
"15","0,21","2017-01-15","RIO PASSAUNA"
"16","0,17","2017-01-16","RIO PASSAUNA"
"17","2,34","2017-01-17","RIO PASSAUNA"
"18","0,53","2017-01-18","RIO PASSAUNA"
"19","0,99","2017-01-19","RIO PASSAUNA"
"20","0,35","2017-01-20","RIO PASSAUNA"
"21","0,21","2017-01-21","RIO PASSAUNA"
"22","0,21","2017-01-22","RIO PASSAUNA"
"23","0,25","2017-01-23","RIO PASSAUNA"
"24","0,13","2017-01-24","RIO PASSAUNA"
"25","0,50","2017-01-25","RIO PASSAUNA"
"26","0,58","2017-01-26","RIO PASSAUNA"
"27","1,15","2017-01-27","RIO PASSAUNA"
"28","1,74","2017-01-28","RIO PASSAUNA"
"29","1,18","2017-01-29","RIO PASSAUNA"
"30","1,05","2017-01-30","RIO PASSAUNA"
"31","1,31","2017-01-31","RIO PASSAUNA"
"32","3,36","2017-02-01","RIO PASSAUNA"
"33","3,49","2017-02-02","RIO PASSAUNA"
"34","2,14","2017-02-03","RIO PASSAUNA"
"35","1,38","2017-02-04","RIO PASSAUNA"
"36","0,96","2017-02-05","RIO PASSAUNA"
"37","0,81","2017-02-06","RIO PASSAUNA"
"38","0,69","2017-02-07","RIO PASSAUNA"
"39","0,59","2017-02-08","RIO PASSAUNA"
"40","0,69","2017-02-09","RIO PASSAUNA"
"41","0,54","2017-02-10","RIO PASSAUNA"
"42","0,49","2017-02-11","RIO PASSAUNA"
"43","4,44","2017-02-12","RIO PASSAUNA"
"44","6,60","2017-02-13","RIO PASSAUNA"
"45","2,36","2017-02-14","RIO PASSAUNA"
"46","1,43","2017-02-15","RIO PASSAUNA"
"47","1,16","2017-02-16","RIO PASSAUNA"
"48","1,01","2017-02-17","RIO PASSAUNA"
"49","1,16","2017-02-18","RIO PASSAUNA"
"50","0,88","2017-02-19","RIO PASSAUNA"
"51","0,90","2017-02-20","RIO PASSAUNA"
"52","0,74","2017-02-21","RIO PASSAUNA"
"53","0,66","2017-02-22","RIO PASSAUNA"
"54","0,62","2017-02-23","RIO PASSAUNA"
"55","0,60","2017-02-24","RIO PASSAUNA"
"56","0,55","2017-02-25","RIO PASSAUNA"
"57","0,55","2017-02-26","RIO PASSAUNA"
"58","0,52","2017-02-27","RIO PASSAUNA"
"59","0,49","2017-02-28","RIO PASSAUNA"
"60","0,46","2017-03-01","RIO PASSAUNA"
"61","0,49","2017-03-02","RIO PASSAUNA"
"62","0,87","2017-03-03","RIO PASSAUNA"
"63","0,50","2017-03-04","RIO PASSAUNA"
"64","0,85","2017-03-05","RIO PASSAUNA"
"65","0,64","2017-03-06","RIO PASSAUNA"
"66","0,46","2017-03-07","RIO PASSAUNA"
"67","0,41","2017-03-08","RIO PASSAUNA"
"68","0,36","2017-03-09","RIO PASSAUNA"
"69","0,33","2017-03-10","RIO PASSAUNA"
"70","0,46","2017-03-11","RIO PASSAUNA"
"71","0,33","2017-03-12","RIO PASSAUNA"
"72","0,71","2017-03-13","RIO PASSAUNA"
"73","0,38","2017-03-14","RIO PASSAUNA"
"74","0,31","2017-03-15","RIO PASSAUNA"
"75","0,28","2017-03-16","RIO PASSAUNA"
"76","0,41","2017-03-17","RIO PASSAUNA"
"77","0,36","2017-03-18","RIO PASSAUNA"
"78","0,89","2017-03-19","RIO PASSAUNA"
"79","0,39","2017-03-20","RIO PASSAUNA"
"80","0,32","2017-03-21","RIO PASSAUNA"
"81","0,28","2017-03-22","RIO PASSAUNA"
"82","0,23","2017-03-23","RIO PASSAUNA"
"83","0,29","2017-03-24","RIO PASSAUNA"
"84","0,21","2017-03-25","RIO PASSAUNA"
"85","0,17","2017-03-26","RIO PASSAUNA"
"86","0,18","2017-03-27","RIO PASSAUNA"
"87","0,18","2017-03-28","RIO PASSAUNA"
"88","0,15","2017-03-29","RIO PASSAUNA"
"89","0,14","2017-03-30","RIO PASSAUNA"
"90","0,12","2017-03-31","RIO PASSAUNA"
"91","0,10","2017-04-01","RIO PASSAUNA"
"92","0,09","2017-04-02","RIO PASSAUNA"
"93","0,09","2017-04-03","RIO PASSAUNA"
"94","0,09","2017-04-04","RIO PASSAUNA"
"95","0,09","2017-04-05","RIO PASSAUNA"
"96","0,27","2017-04-06","RIO PASSAUNA"
"97","0,32","2017-04-07","RIO PASSAUNA"
"98","0,28","2017-04-08","RIO PASSAUNA"
"99","0,22","2017-04-09","RIO PASSAUNA"
"100","0,21","2017-04-10","RIO PASSAUNA"
"101","0,24","2017-04-11","RIO PASSAUNA"
"102","0,19","2017-04-12","RIO PASSAUNA"
"103","0,12","2017-04-13","RIO PASSAUNA"
"104","0,09","2017-04-14","RIO PASSAUNA"
"105","0,09","2017-04-15","RIO PASSAUNA"
"106","0,09","2017-04-16","RIO PASSAUNA"
"107","0,09","2017-04-17","RIO PASSAUNA"
"108","0,08","2017-04-18","RIO PASSAUNA"
"109","0,08","2017-04-19","RIO PASSAUNA"
"110","0,08","2017-04-20","RIO PASSAUNA"
"111","0,17","2017-04-21","RIO PASSAUNA"
"112","0,18","2017-04-22","RIO PASSAUNA"
"113","0,08","2017-04-23","RIO PASSAUNA"
"114","0,08","2017-04-24","RIO PASSAUNA"
"115","0,08","2017-04-25","RIO PASSAUNA"
"116","0,20","2017-04-26","RIO PASSAUNA"
"117","0,09","2017-04-27","RIO PASSAUNA"
"118","0,09","2017-04-28","RIO PASSAUNA"
"119","0,08","2017-04-29","RIO PASSAUNA"
"120","0,08","2017-04-30","RIO PASSAUNA"
"121","0,08","2017-05-01","RIO PASSAUNA"
"122","0,08","2017-05-02","RIO PASSAUNA"
"123","0,08","2017-05-03","RIO PASSAUNA"
"124","0,08","2017-05-04","RIO PASSAUNA"
"125","0,08","2017-05-05","RIO PASSAUNA"
"126","0,08","2017-05-06","RIO PASSAUNA"
"127","0,08","2017-05-07","RIO PASSAUNA"
"128","0,08","2017-05-08","RIO PASSAUNA"
"129","0,08","2017-05-09","RIO PASSAUNA"
"130","0,08","2017-05-10","RIO PASSAUNA"
"131","0,08","2017-05-11","RIO PASSAUNA"
"132","0,08","2017-05-12","RIO PASSAUNA"
"133","0,08","2017-05-13","RIO PASSAUNA"
